,Stage Name ,Full Name ,Korean Name ,K. Stage Name,Date of Birth ,Group ,Country ,Height ,Weight,Birthplace ,Gender ,Instagram
247,T.O.P,Choi Seunghyun,최승현,탑,11/4/1987,BIGBANG,South Korea,180,65,Seoul,M,
248,Taeyang,Dong Youngbae,동영배,태양,5/18/1988,BIGBANG,South Korea,174,56,Uljeongbu,M,
249,G-Dragon,Kwon Jiyong,권지용,지드래곤,8/18/1988,BIGBANG,South Korea,177,58,Seoul,M,
250,Daesung,Daesung,강대성,대성,4/26/1989,BIGBANG,South Korea,178,63,Incheon,M,
251,Seungri,Lee Seunghyun,이승현,승리,12/12/1990,,South Korea,176,60,Gwangju,M,
252,Leeteuk,Park Jeongsu,박정수,이특,7/1/1983,Super Junior,South Korea,179,59,Seoul,M,
253,Heechul,Kim Heechul,김희철,희철,7/10/1983,Super Junior,South Korea,179,60,Hoengseong,M,
254,Yesung,Kim Jongwoon,김종운,예성,8/24/1984,Super Junior,South Korea,178,64,Seoul,M,
255,Kangin,Kim Youngwoon,김영운,강인,1/17/1985,,South Korea,178,70,Seoul,M,
256,Sungmin,Lee Sungmin,이성민,성민,1/1/1986,Super Junior,South Korea,175,57,Gyeonggi,M,
257,Shindong,Shin Donghee,신동희,신동,9/28/1985,Super Junior,South Korea,178,90,Mungyeong,M,
258,Eunhyuk,Lee Hyukjae,이혁재,은혁,4/4/1986,Super Junior,South Korea,176,58,Ilsan,M,
259,Siwon,Choi Siwon,최시원,시원,4/7/1986,Super Junior,South Korea,185,65,Seoul,M,
260,Donghae,Lee Donghae,이동해,동해,10/15/1986,Super Junior,South Korea,176,60,Mokpo,M,
261,Ryeowook,Kim Ryeowook,김려욱,려욱,6/21/1987,Super Junior,South Korea,175,58,Incheon,M,
262,Kyuhyun,Cho Kyuhyun,조규현,규현,2/3/1988,Super Junior,South Korea,180,68,Seoul,M,
263,Han Geng,Han Geng,한경,한경,2/9/1984,,China,181,66,Mudanjiang,M,
264,Kibum,Kim Kibum,김기범,기범,8/21/1987,,South Korea,179,58,Seoul,M,
265,Zhou Mi,Zhou Mi,조미,조미,4/19/1986,Super Junior-M,China,184,64,Wuhan,M,
266,Henry,Henry Lau,헨리 라우,헨리,10/11/1989,Super Junior-M,Canada,176,63,Toronto,M,
267,Onew,Lee Jinki,이진기,온유,12/14/1989,SHINee,South Korea,177,61,Gwangmyeong,M,
268,Jonghyun†,Kim Jonghyun,김종현,종현,4/8/1990,,South Korea,173,56,Seoul,M,
269,Key,Kim Kibum,김기범,키,9/23/1991,SHINee,South Korea,179,59,Daegu,M,
270,Minho,Choi Minho,최민호,민호,12/9/1991,SHINee,South Korea,181,60,Incheon,M,
271,Taemin,Lee Taemin,이태민,태민,7/18/1993,SHINee,South Korea,177,53,Seoul,M,
272,Xiumin,Kim Minseok,김민석,시우민,3/26/1990,EXO,South Korea,173,65,Guri,M,
273,Suho,Kim Junmyeon,김준면,수호,5/22/1991,EXO,South Korea,173,65,Seoul,M,
274,Lay,Zhang Yixing,장이씽,레이,10/7/1991,EXO,China,177,60,Changsa,M,
275,Baekhyun,Byun Baekhyun,변백현,백현,5/6/1992,EXO,South Korea,174,58,Wonmi,M,
276,Chen,Kim Jongdae,김종대,첸,9/21/1992,EXO,South Korea,173,64,Silheung,M,
277,Chanyeol,Park Chanyeol,박찬열,찬열,11/27/1992,EXO,South Korea,185,70,Seoul,M,
278,D.O.,Do Kyungsoo,도경수,디오,1/12/1993,EXO,South Korea,173,60,Gyeonggi,M,
279,Kai,Kim Jongin,김종인,카이,1/14/1994,EXO,South Korea,182,65,Suncheon,M,
280,Sehun,Oh Sehun,오세훈,세훈,4/12/1994,EXO,South Korea,181,63,Seoul,M,
281,Luhan,Lu Han,루한,루한,4/20/1990,,China,178,62,Haidian,M,
282,Kris,Wu Yifan,오역범,크리스,11/6/1990,,Canada,187,73,Guangzhou,M,
283,Tao,Hwang Zitao,황자도,타오,5/2/1993,,China,183,70,Qingdao,M,
284,Jinyoung,Jung Jinyoung,정진영,진영,11/18/1991,,South Korea,178,58,Chungju,M,
285,CNU,Shin Dongwoo,신동우,신우,6/16/1991,B1A4,South Korea,182,64,Seoul,M,
286,Sandeul,Lee Junghwan,이정환,산들,3/20/1992,B1A4,South Korea,178,62,Busan,M,
287,Baro,Cha Sunwoo,차선우,바로,9/5/1992,,South Korea,178,63,Gwangju,M,
288,Gongchan,Gong Chansik,공찬식,공찬,8/14/1993,B1A4,South Korea,181,60,Suncheon,M,
289,Yongguk,Bang Yongguk,방용국,용국,3/31/1990,B.A.P,South Korea,182,60,Incheon,M,
290,Himchan,Kim Himchan,김힘찬,힘찬,4/19/1990,B.A.P,South Korea,180,69,Seoul,M,
291,Daehyun,Jung Daehyun,정대현,대현,6/28/1993,B.A.P,South Korea,177,63,Busan,M,
292,Youngjae,Yoo Youngjae,유영재,영재,1/24/1994,B.A.P,South Korea,178,65,Seoul,M,
293,Jongup,Moon Jongup,문종업,종업,2/6/1995,B.A.P,South Korea,176,66,Seoul,M,
294,Zelo,Choi Junhong,최준홍,젤로,10/15/1996,B.A.P,South Korea,182,63,Mokpo,M,
295,Zico,Woo Jiho,우지호,지코,9/14/1992,Block B,South Korea,182,65,Seoul,M,
296,Taeil,Lee Taeil,이태일,태일,9/24/1990,Block B,South Korea,167,57,Seoul,M,
297,B-Bomb,Lee Minhyuk,이민혁,비범,12/14/1990,Block B,South Korea,178,60,Seoul,M,
298,Jaehyo,Ahn Jaehyo,안재효,재효,12/23/1990,Block B,South Korea,182,60,Busan,M,
299,U-Kwon,Kim Yukwon,김유권,유권,4/9/1992,Block B,South Korea,176,63,Suwon,M,
300,Park Kyung,Park Kyung,박경,박경,7/8/1992,Block B,South Korea,176,56,Seoul,M,
301,P.O,Pyo Jihoon,표지훈,피오,2/2/1993,Block B,South Korea,181,64,Seoul,M,
302,Doojoon,Yoon Doojoon,윤두준,두준,7/4/1989,Highlight,South Korea,177,66,Goyang,M,
303,Junhyung,Yong Junyung,용준형,준형,12/19/1989,Highlight,South Korea,178,64,Seoul,M,
304,Yoseob,Yang Yoseob,양요섭,요섭,1/5/1990,Highlight,South Korea,171,56,Seoul,M,
305,Gikwang,Lee Gikwang,이기광,기광,3/30/1990,Highlight,South Korea,171,58,Gwangju,M,
306,Dongwoon,Son Dongwoon,손동운,동운,6/6/1991,Highlight,South Korea,181,64,Busan,M,
307,Hyunseung,Jang Hyunseung,장현승,현승,9/3/1989,,South Korea,177,58,Suncheon,M,
308,Jin,Kim Seokjin,김석진,진,12/4/1992,BTS,South Korea,179,63,Gwacheon,M,
309,Suga,Min Yoongi,민윤기,슈가,3/9/1993,BTS,South Korea,176,59,Daegu,M,
310,J-Hope,Jung Hoseok,정호석,제이홉,2/18/1994,BTS,South Korea,177,65,Gwangju,M,
311,RM,Kim Namjoon,김남준,알엠,9/12/1994,BTS,South Korea,181,67,Ilsan,M,
312,Jimin,Park Jimin,박지민,지민,10/13/1995,BTS,South Korea,175,61,Busan,M,
313,V,Kim Taehyung,김태형,뷔,12/30/1995,BTS,South Korea,179,62,Daegu,M,
314,Jungkook,Jeon Jungkook,전정국,정국,9/1/1997,BTS,South Korea,178,66,Busan,M,
315,Sungkyu,Kim Sungkyu,김성규,성규,4/28/1989,Infinite,South Korea,178,62,Jeonju,M,
316,Dongwoo,Jang Dongwoo,장동우,동우,11/22/1990,Infinite,South Korea,171,58,Guri,M,
317,Woohyun,Nam Woohyun,남우현,우현,2/8/1991,Infinite,South Korea,176,52,Seoul,M,
318,Hoya,Lee Howon,이호원,호야,3/28/1991,,South Korea,178,60,Busan,M,
319,Sungyeol,Lee Sungyeol,이성열,성열,8/27/1991,Infinite,South Korea,183,59,Yongin,M,
320,L,Kim Myungsoo,김명수,엘,3/13/1992,Infinite,South Korea,180,60,Seoul,M,
321,Sungjong,Lee Sungjong,이성종,성종,9/3/1993,Infinite,South Korea,177,54,Gwangju,M,
322,N,Cha Hakyeon,차학연,엔,6/30/1990,VIXX,South Korea,180,65,Changwon,M,
323,Leo,Jung Taekwon,정택운,레오,11/10/1990,VIXX,South Korea,183,63,Seoul,M,
324,Ken,Lee Jaehwan,이재환,켄,4/6/1992,VIXX,South Korea,180,65,Seoul,M,
325,Ravi,Kim Wonsik,김원식,라비,2/15/1993,VIXX,South Korea,183,65,Seoul,M,
326,Hongbin,Lee Hongbin,이홍빈,홍빈,9/29/1993,VIXX,South Korea,181,62,Seoul,M,
327,Hyuk,Han Sanghyuk,한상혁,혁,7/5/1995,VIXX,South Korea,181,62,Daejeon,M,
328,Jun. K,Kim Minjun,김민준,준케이,1/15/1988,2:00 PM,South Korea,180,68,Daegu,M,
329,Nichkhun,Nichkhun Horvejkul,닛차쿤 허라웻차꾼,닉쿤,6/24/1988,2:00 PM,Thailand,180,64,California,M,
