,Stage Name ,Full Name ,Korean Name ,K. Stage Name,Date of Birth ,Group ,Country ,Height ,Weight,Birthplace ,Gender ,Instagram
0,Taeyeon,Kim Taeyeon,김태연,태연,3/9/1989,SNSD,South Korea,160,44,Jeonju,F,taeyeon_ss
1,Sunny,Lee Sunkyu,이순규,써니,5/15/1989,SNSD,South Korea,158,43,California,F,svnnynight
2,Tiffany,Hwang Miyoung,황미영,티파니,8/1/1989,SNSD,South Korea,163,50,San Francisco,F,xolovestephi
3,Hyoyeon,Kim Hyoyeon,김효연,효연,9/22/1989,SNSD,South Korea,158,48,Incheon,F,watasiwahyo
4,Yuri,Kwon Yuri,권유리,유리,12/5/1989,SNSD,South Korea,167,45,Goyang,F,yulyulk
5,Sooyoung,Choi Sooyoung,최수영,수영,2/10/1990,SNSD,South Korea,170,48,Gwangju,F,hotsootuff
6,Yoona,Im Yoona,임윤아,윤아,5/30/1990,SNSD,South Korea,166,47,Seoul,F,yoona__lim
7,Seohyun,Seo Joohyun,서주현,서현,6/28/1991,SNSD,South Korea,168,48,Seoul,F,seojuhyun_s
8,Jessica,Jessica Jung,제시카 정,제시카,4/18/1989,,South Korea,0,0,,F,jessica.syj
9,CL,Lee Chaerin,이채린,씨엘,2/26/1991,2NE1,South Korea,0,0,,F,chaelincl
10,Bom,Park Bom,박봄,봄,3/24/1984,2NE1,South Korea,0,0,,F,haroobommi
11,Dara,Park Sandara,박산다라,다라,11/12/1984,2NE1,South Korea,0,0,,F,daraxxi
12,Minzy,Kong Minji,공민지,민지,1/18/1994,2NE1,South Korea,0,0,,F,
13,Hyorin,Kim Hyojung,김효정,효린,12/11/1990,SISTAR,South Korea,0,0,,F,xhyolynx
14,Bora,Yoon Bora,윤보라,보라,12/30/1989,SISTAR,South Korea,0,0,,F,borabora_sugar
15,Soyou,Kang Jihyun,강지현,소유,2/12/1992,SISTAR,South Korea,0,0,,F,soooo_you
16,Dasom,Kim Dasom,김다솜,다솜,5/6/1993,SISTAR,South Korea,0,0,,F,som0506
17,Jihyun,Nam Jihyun,남지현,지현,1/9/1990,4minute,South Korea,167,0,Seoul,F,njh9019
18,Gayoon,Heo Gayoon,허가윤,가윤,5/18/1990,4minute,South Korea,165,0,Seoul,F,gayoon_heo
19,Jiyoon,Jeon Jiyoon,전지윤,지윤,10/15/1990,4minute,South Korea,165,0,Seoul,F,jenyerjiyoon
20,HyunA,Kim Hyuna,김현아,현아,6/6/1992,4minute,South Korea,164,0,Jeolla,F,hyunah_aa
21,Sohyun,Kwon Sohyun,권소현,소현,8/30/1994,4minute,South Korea,162,0,Seoul,F,kkwonsso_94
22,Jimin,Shin Jimin,신지민,지민,1/8/1991,,South Korea,160,43,Seoul,F,jiminbaby_18
23,Choa,Park Choa,박초아,초아,3/6/1990,,South Korea,160,42,Incheon,F,queenchoa_
24,Yuna,Seo Yuna,서유나,유나,12/30/1992,AoA,South Korea,163,45,Busan,F,yn_s_1230
25,Yookyung,Seo Yookyung,서유경,유경,3/15/1993,,South Korea,167,48,,F,
26,Hyejeong,Shin Hyejeong,신혜정,혜정,8/10/1993,AoA,South Korea,170,48,Seoul,F,dongdong810
27,Mina,Kwon Mina,권민아,민아,9/21/1993,,South Korea,159,43,Busan,F,kvwowv
28,Seolhyun,Kim Seolhyun,김설현,설현,1/3/1995,AoA,South Korea,167,47,Bucheon,F,sh_9513
29,Chanmi,Kim Chanmi,김찬미,찬미,6/19/1996,AoA,South Korea,166,47,Gumi,F,chanmi_96a
30,Sojin,Park Sojin,박소진,소진,5/21/1986,Girl's Day,South Korea,167,47,Daegu,F,ssozi_sojin
31,Yura,Kim Ahyoung,김아영,유라,11/6/1992,Girl's Day,South Korea,168,49,Ulsan,F,yura_936
32,Minah,Bang Minah,방민아,민아,5/13/1993,Girl's Day,South Korea,165,47,Incheon,F,bbang_93
33,Hyeri,Lee Hyeri,이혜리,혜리,6/9/1994,Girl's Day,South Korea,167,46,Gwangju,F,hyeri_0609
34,Jea,Kim Hyojin,김효진,제아,9/18/1981,Brown Eyed Girls,South Korea,0,0,,F,jeaworld
35,Miryo,Jo Mihye,조미혜,미료,11/2/1981,Brown Eyed Girls,South Korea,0,0,,F,miryoakajohoney
36,Narsha,Park Hyojin,박효진,나르샤,12/28/1981,Brown Eyed Girls,South Korea,0,0,,F,narsha81
37,Gain,Son Gain,손가인,가인,9/20/1987,Brown Eyed Girls,South Korea,0,0,,F,songain87
38,Chorong,Park Chorong,박초롱,초롱,3/3/1991,Apink,South Korea,165,0,Chungwongoon,F,mulgokizary
39,Bomi,Yoon Bomi,윤보미,보미,8/13/1993,Apink,South Korea,163,0,Suwon,F,
40,Eunji,Jung Eunji,정은지,은지,8/18/1993,Apink,South Korea,163,0,Busan,F,artist_eunji
41,Naeun,Son Naeun,손나은,나은,2/10/1994,,South Korea,168,0,Seoul,F,marcella_the_naeun
42,Namjoo,Kim Namjoo,김남주,남주,4/15/1995,Apink,South Korea,165,0,Seoul,F,sarangdungy
43,Hayoung,Oh Hayoung,오하영,하영,7/19/1996,Apink,South Korea,167,0,Seoul,F,o_h_y_y
44,Solji,Heo Solji,허솔지,솔지,1/10/1989,EXID,South Korea,170,0,Seongnam,F,soul.g_heo
45,LE,Ahn Hyejin,안효진,엘리,12/10/1991,EXID,South Korea,168,0,Cheonan,F,x_xellybabyx
46,Hani,Ahn Hee-yeon,안희연,하니,5/1/1992,EXID,South Korea,168,0,Seoul,F,ahnhani_92
47,Hyerin,Seo Hyerin,서혜린,혜린,8/23/1993,EXID,South Korea,165,0,Gwangju,F,hyeliniseo
48,Junghwa,Park Junghwa,박정화,정화,5/8/1995,EXID,South Korea,169,0,Anyang,F,jeonghwa_0508
49,Hyeyeon,Kang Hyeyeon,강혜연,혜연,12/8/1990,BESTie,South Korea,0,0,,F,hyeyeon_2
50,Uji,Jang Yuji,정유지,유지,1/2/1991,,South Korea,0,0,,F,yudi_didi
51,Dahye,Song Dahye,송다혜,다혜,6/12/1993,,South Korea,0,0,,F,dahye0612
52,Haeryeong,Na Haeryeong,나해령,해령,11/11/1994,BESTie,South Korea,0,0,,F,bestie_hr
53,Yubin,Kim Yubin,김유빈,유빈,10/4/1988,Wonder Girls,South Korea,163,0,Gwangju,F,
54,Yenny,Park Yeeun,박예은,예은,5/26/1989,Wonder Girls,South Korea,165,0,Goyang,F,hatfelt
55,Sunmi,Lee Sunmi,이선미,선미,5/2/1992,Wonder Girls,South Korea,167,0,Iksan,F,miyayeah
56,Hyerim,Woo Hyerim,우혜림,혜림,9/1/1992,Wonder Girls,South Korea,167,0,Seoul,F,wg_lim
57,Fei,Wang FeiFei,왕페이페이,페이,4/27/1987,miss A,China,165,0,Haikou,F,ff0427
58,Jia,Meng Jia,멍지아,지아,2/3/1989,miss A,China,166,0,Changja,F,mjbaby0203
59,Min,Lee Minyoung,이민영,민,6/21/1991,miss A,South Korea,161,0,Seoul,F,therealminnn
60,Suzy,Bae Suji,배수지,수지,10/10/1994,miss A,South Korea,168,0,Gwangju,F,skuukzky
61,Jamie,Park Jimin,박지민,박지민,7/5/1997,15&,South Korea,160,0,Junggu,F,jiminxjamie
62,Yerin,Baek Yerin,백예린,백예린,6/26/1997,15&,South Korea,165,0,Daejeon,F,yerinb
63,Jihyo,Park Jisoo,박지수,지효,2/1/1997,Twice,South Korea,162,0,Guri,F,
64,Nayeon,Im Nayeon,임나연,나연,9/22/1995,Twice,South Korea,163,0,Seoul,F,
65,Jeongyeon,Yoo Jeongyeon,유정연,정연,11/1/1996,Twice,South Korea,168,0,Suwon,F,
66,Momo,Hirai Momo,히라이 모모,모모,11/9/1996,Twice,Japan,167,0,Kyoto,F,
67,Sana,Minatozaki Sana,미나토자키 사나,사나,12/29/1996,Twice,Japan,168,0,Osaka,F,
68,Mina,Myoui Mina,묘이 미나,미나,3/24/1997,Twice,Japan,163,0,San Antonio,F,
69,Dahyun,Kim Dahyun,김다현,다현,5/28/1998,Twice,South Korea,165,0,Seongnam,F,
70,Chaeyoung,Son Chaeyoung,손채영,채영,4/23/1999,Twice,South Korea,159,0,Seoul,F,
71,Tzuyu,Chou Tzuyu,저우쯔위,쯔위,6/14/1999,Twice,Taiwan,169,0,Tainan,F,
72,Seunghee,Oh Seunghee,오승희,승희,10/10/1995,CLC,South Korea,163,0,Gwangju,F,
73,Yujin,Choi Yujin,최유진,유진,8/12/1996,Kep1er,South Korea,164,0,Jeonju,F,
74,Seungyeon,Jang Seunyeon,장승연,승연,11/6/1996,CLC,South Korea,163,0,Seongnam,F,
75,Sorn,Chonnasorn Sajakul,촌나손 사짜꾼,손,11/18/1996,CLC,Thailand,164,0,Bangkok,F,
76,YeeEun,Jang Yeeun,장예은,예은,8/10/1998,CLC,South Korea,166,0,Dongducheon,F,
77,Hyuna,Moon Hyuna,문현아,현아,1/19/1987,,South Korea,172,50,Yeosu,F,moongom119
78,Euaerin,Lee Hyemin,이혜민,이유애린,5/3/1988,,South Korea,174,48,Seoul,F,
79,Sungah,Son Sungah,손성아,성아,7/8/1989,9Muses,South Korea,172,48,Suma,F,ssungahhbaby
80,Kyungri,Park Kyungri,박경리,경리,7/5/1990,9Muses,South Korea,170,50,Busan,F,gyeongree
81,Hyemi,Pyo Hyemi,표혜미,혜미,4/3/1991,9Muses,South Korea,171,46,Gwangju,F,pyopyohyemi
82,Minha,Park Minha,박민하,민하,6/27/1991,,South Korea,172,47,Seoul,F,blossomh_
83,Sojin,Jo Sojin,조소진,소진,10/11/1991,9Muses,South Korea,170,47,Gwangju,F,josojin_1011
84,Keumjo,Lee Keumjo,이금조,금조,12/17/1992,9Muses,South Korea,167,48,Daegu,F,keumjo_1217
85,Sowon,Kim Sojung,김소정,소원,12/7/1995,Gfriend,South Korea,172,0,Seoul,F,
86,Yerin,Jung Yerin,정예린,예린,8/19/1996,Gfriend,South Korea,167,0,Incheon,F,
87,Eunha,Jung Eunbi,정은비,은하,5/30/1997,VIVIZ,South Korea,163,0,Seoul,F,
88,Yuju,Choi Yuna,최유나,유주,10/4/1997,Gfriend,South Korea,169,0,Goyang,F,
89,SinB,Hwang Eunbi,황은비,신비,6/3/1998,VIVIZ,South Korea,165,0,Cheongju,F,
90,Umji,Kim Yewon,김예원,엄지,8/19/1998,VIVIZ,South Korea,163,0,Incheon,F,
91,Victoria,Song Qian,송치엔,빅토리아,2/2/1987,f(x),China,168,45,Qingdao,F,victoria02_02
92,Amber,Amber Josephine Liu,엠버 조세핀 리우,엠버,9/18/1992,f(x),USA,167,0,Los Angeles,F,ajol_llama
93,Luna,Park Sunyoung,박선영,루나,8/12/1993,f(x),South Korea,162,0,Seoul,F,hermosavidaluna
94,Krystal,Krystal Jung,크리스탈 정,크리스탈,10/24/1994,f(x),South Korea,165,0,San Francisco,F,vousmevoyez
95,Irene,Bae Juhyun,배주현,아이린,3/29/1991,Red Velvet,South Korea,161,0,Daegu,F,
96,Seulgi,Kang Seulgi,강슬기,슬기,2/10/1994,Red Velvet,South Korea,162,0,Seoul,F,
97,Wendy,Son Seunghwan,손승완,웬디,2/21/1994,Red Velvet,South Korea,160,0,Seoul,F,
98,Joy,Park Sooyoung,박수영,조이,9/3/1996,Red Velvet,South Korea,163,0,Jeju,F,
99,Yeri,Kim Yerim,김예림,예리,3/5/1999,Red Velvet,South Korea,158,0,Seoul,F,
100,BoA,Kwon Boa,권보아,보아,11/5/1986,,South Korea,0,0,Guri,F,boakwon
101,Ailee,Lee Yejin,이예진,에일리,5/30/1989,,South Korea,165,0,Denver,F,aileeonline
102,G.NA,Gina Jane Choi,최지나,지나,9/13/1987,,Canada,167,0,Edmonton,F,missginachoi87
103,Taeha,Yoo Taeha,유태하,태하,10/5/1995,,South Korea,162,0,,F,
104,Seoyul,Seo Yuri,서유리,서율,11/26/1997,Berry Good,South Korea,163,0,,F,
105,Daye,Kim Hyunjung,김현정,다예,2/25/1998,Berry Good,South Korea,167,0,,F,
106,Sehyung,Kang Sehyung,강세형,세형,12/13/1998,Berry Good,South Korea,169,0,,F,
107,Gowoon,Moon Joojeong,문유정,고운,12/18/1998,Berry Good,South Korea,167,0,,F,
108,Hyangsuk,Lee Hyangsuk,이향숙,향숙,4/24/1991,2EYES,South Korea,165,0,Seoul,F,baby_sook
109,Daeun,Jung Daeun,정다은,정다은,6/3/1994,2EYES,South Korea,161,0,Bucheon,F,da.ni_jung
110,Dasom,Lee Dasom,이다솜,다솜,11/13/1993,2EYES,South Korea,164,0,Cheongju,F,
111,Hyerin,Kim Hyerin,김혜린,혜린,6/13/1993,2EYES,South Korea,170,0,Seoul,F,hyelyn0723
112,IU,Lee Jieun,이지은,아이유,5/16/1993,,South Korea,162,0,Seoul,F,dlwlrma
113,Jei,Kim Jinhee,김진희,재이,9/5/1989,Fiestar,South Korea,162,0,Bucheon,F,kimjeii
114,Cao Lu,Cao Lu,차오루,차오루,8/30/1987,Fiestar,China,166,0,Zhangjiajie,F,better_me_lulu
115,Linzy,Im Minji,임민지,린지,10/22/1989,Fiestar,South Korea,168,0,Incheon,F,linzy_minji
116,Hyemi,Kim Hyemi,김혜미,혜미,8/10/1990,Fiestar,South Korea,161,0,Seoul,F,hyemi_haaaaam
117,Yezi,Lee Yeji,이예지,예지,8/26/1994,Fiestar,South Korea,161,0,Gangneung,F,-
118,Hana,Shin Bora,신보라,하나,4/30/1993,Gugudan,South Korea,0,0,,F,
119,Mimi,Jung Mimi,정미미,미미,1/1/1993,Gugudan,South Korea,163,0,,F,
120,Haebin,Han Haebin,한해빈,해빈,8/16/1995,Gugudan,South Korea,0,0,,F,
121,Nayoung,Kim Nayoung,김나영,나영,11/23/1995,Gugudan,South Korea,169,50,,F,
122,Sejeong,Kim Sejeong,김세정,세정,8/28/1996,Gugudan,South Korea,164,48,,F,
123,Sally,Liu Xiening,류셰닝,샐리,10/23/1996,Gugudan,China,0,0,Guangdong,F,
124,Soyee,Jang Sojin,장소진,소이,11/21/1996,Gugudan,South Korea,0,0,,F,
125,Mina,Kang Mina,강미나,미나,12/4/1999,Gugudan,South Korea,162,48,Icheon,F,
